title,artist,peak_position,total_weeks,first_chart_date,main_genre,all_genres,genre_source
All I Want For Christmas Is You,Mariah Carey,1,4,2025-01-04,R&B,pop; contemporary r&b; dance-pop; soul; christmas music,musicbrainz
Rockin' Around The Christmas Tree,Brenda Lee,1,3,2025-01-04,Country,pop; country; 2008 universal fire victim; american; classic pop and rock,musicbrainz
Die With A Smile,Lady Gaga & Bruno Mars,1,42,2025-01-04,Rock,pop; dance-pop; electropop; pop rock; electronic,musicbrainz
A Bar Song (Tipsy),Shaboozey,1,41,2025-01-04,Hip Hop/Rap,country; country pop; hip hop; stomp and holler,musicbrainz
Luther,Kendrick Lamar & SZA,1,42,2025-01-04,Unknown,No genre data,none
Squabble Up,Kendrick Lamar,1,26,2025-01-04,Hip Hop/Rap,hip hop; conscious hip hop; jazz rap; west coast hip hop; hardcore hip hop,musicbrainz
I Had Some Help,Post Malone Featuring Morgan Wallen,1,35,2025-01-04,Unknown,No genre data,none
Love Somebody,Morgan Wallen,1,36,2025-01-04,Country,country,musicbrainz
Lose Control,Teddy Swims,1,41,2025-01-11,Rock,pop; pop / rock,musicbrainz
Too Sweet,Hozier,1,13,2025-01-11,R&B,blues rock; blues; indie rock; pop soul; soul,musicbrainz
Not Like Us,Kendrick Lamar,1,20,2025-01-11,Hip Hop/Rap,hip hop; diss track; pop / rock; producer tag - dj mustard,musicbrainz
Please Please Please,Sabrina Carpenter,1,11,2025-01-11,Country,pop; synthpop; country pop; country,lastfm
4X4,Travis Scott,1,4,2025-02-08,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; english,musicbrainz
Humble.,Kendrick Lamar,1,1,2025-02-22,Hip Hop/Rap,west coast hip hop; westcoast rap,musicbrainz
Like That,"Future, Metro Boomin & Kendrick Lamar",1,1,2025-02-22,Hip Hop/Rap,hip hop,musicbrainz
Ordinary,Alex Warren,1,41,2025-02-22,Pop,folk; pop; linedance 2025,lastfm
Fortnight,Taylor Swift Featuring Post Malone,1,1,2025-04-26,Rock,synth-pop; pop rock; alternative pop; pop; indie folk,musicbrainz
What I Want,Morgan Wallen Featuring Tate McRae,1,27,2025-05-31,Unknown,No genre data,none
Manchild,Sabrina Carpenter,1,24,2025-06-21,Pop,pop; 2020s; dance-pop; electropop,musicbrainz
Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",1,22,2025-07-05,Pop,k-pop; korean; synth-pop; english; pop music,musicbrainz
The Fate Of Ophelia,Taylor Swift,1,7,2025-10-18,Country,pop; country; country pop; singer/songwriter; female vocals,musicbrainz
Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",1,1,2025-11-15,Halloween,halloween,musicbrainz
Ghostbusters,Ray Parker Jr.,1,1,2025-11-15,R&B,2008 universal fire victim; contemporary r&b; pop; pop and chart; pop soul,musicbrainz
Birds Of A Feather,Billie Eilish,2,36,2025-01-04,Rock,alt-pop; pop; indie pop; pop rock; sophisti-pop,lastfm
TV Off,Kendrick Lamar Featuring Lefty Gunplay,2,27,2025-01-04,Unknown,No genre data,none
Taste,Sabrina Carpenter,2,21,2025-01-04,Pop,pop; 2020s; dance-pop; electropop,musicbrainz
Beautiful Things,Benson Boone,2,41,2025-01-11,Rock,pop; pop rock; 2020s,musicbrainz
Million Dollar Baby,Tommy Richman,2,2,2025-01-11,Electronic/Dance,house,musicbrainz
DTMF,Bad Bunny,2,20,2025-01-18,Pop,latin; reggaeton; danceable; latin pop,lastfm
I'm The Problem,Morgan Wallen,2,36,2025-02-15,Country,country pop; country,lastfm
Nokia,Drake,2,27,2025-03-01,Hip Hop/Rap,hip hop; funk; soul; pop rap; contemporary r&b,musicbrainz
Evil J0rdan,Playboi Carti,2,5,2025-03-29,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; cloud rap,musicbrainz
Just In Case,Morgan Wallen,2,29,2025-04-05,Country,country; country pop,musicbrainz
What Did I Miss?,Drake,2,12,2025-07-19,Hip Hop/Rap,hip hop; r&b; contemporary r&b; pop rap; alternative r&b,musicbrainz
Daisies,Justin Bieber,2,19,2025-07-26,Rock,bedroom pop; pop; pop rock; offizielle charts; 5+ wochen,musicbrainz
Opalite,Taylor Swift,2,7,2025-10-18,Rock,pop; electronic; synth-pop; pop rock; alternative pop,musicbrainz
Somebody's Watching Me,Rockwell,2,1,2025-11-15,Rock,pop; rock and indie,musicbrainz
Last Christmas,Wham!,3,4,2025-01-04,Pop,pop,lastfm
Jingle Bell Rock,Bobby Helms,3,3,2025-01-04,Pop,pop,lastfm
APT.,ROSE & Bruno Mars,3,36,2025-01-04,Pop,k-pop; 2020s; 3rd gen k-pop; ballad; korean ballad,musicbrainz
Espresso,Sabrina Carpenter,3,29,2025-01-04,Pop,pop; 2020s; dance-pop; electropop,musicbrainz
Timeless,The Weeknd & Playboi Carti,3,29,2025-01-04,Unknown,No genre data,none
Baile Inolvidable,Bad Bunny,3,20,2025-01-18,Pop,reggaeton; latin pop; reydelpop,lastfm
Euphoria,Kendrick Lamar,3,1,2025-02-22,Hip Hop/Rap,hardcore hip hop; trap; rap; hip hop; jazz rap,lastfm
Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",3,21,2025-07-12,Pop,pop; k-pop; korean; dance-pop; english,musicbrainz
The Subway,Chappell Roan,3,13,2025-08-16,Pop,synth-pop; queer; alternative pop; dance-pop; gay pop,musicbrainz
Tears,Sabrina Carpenter,3,12,2025-09-13,Pop,pop; 2020s; dance-pop; electropop,musicbrainz
Tit For Tat,Tate McRae,3,8,2025-10-11,R&B,pop; 2020s; dance-pop; alternative pop; contemporary r&b,musicbrainz
Elizabeth Taylor,Taylor Swift,3,7,2025-10-18,Country,pop; country; country pop; singer/songwriter; female vocals,musicbrainz
A Holly Jolly Christmas,Burl Ives,4,2,2025-01-04,Rock,christmas music; 2008 universal fire victim; american; classic pop and rock; folk,musicbrainz
Pink Pony Club,Chappell Roan,4,41,2025-01-04,Rock,pop; synthpop; indie pop; indie; pop rock,lastfm
Wacced Out Murals,Kendrick Lamar,4,3,2025-01-04,Hip Hop/Rap,west coast hip hop; hip hop; funk; soul; contemporary r&b,musicbrainz
"Good Luck, Babe!",Chappell Roan,4,15,2025-01-11,Rock,synthpop; baroque pop; pop rock; pop; indie pop,lastfm
Smile,Morgan Wallen,4,21,2025-01-11,Unknown,No genre data,none
Rather Lie,Playboi Carti & The Weeknd,4,23,2025-03-29,Hip Hop/Rap,hip hop; trap; rap; southern hip hop; cloud rap,musicbrainz
All The Way,BigXthaPlug Featuring Bailey Zimmerman,4,27,2025-04-19,Unknown,No genre data,none
Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",4,22,2025-07-05,Unknown,No genre data,none
Man I Need,Olivia Dean,4,13,2025-09-06,R&B,2020s; indie pop; neo soul; pop soul,musicbrainz
Father Figure,Taylor Swift,4,7,2025-10-18,Country,pop; country; country pop; singer/songwriter; female vocals,musicbrainz
