rank,title,artist,peak_position,weeks_on_chart,release_date,genres,spotify_id
1,The Fate Of Ophelia,Taylor Swift,1,7,2025-10-03,No genre data,53iuhJlwXhSER5J2IYYv1W
2,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",1,22,2025-06-20,k-pop,1CPZ5BxNNd0n0nF4Orb9JS
3,Ordinary,Alex Warren,1,41,2024-09-26,No genre data,2RkZ5LkEzeHGRsmDqKwmaJ
4,Man I Need,Olivia Dean,4,13,2025-08-15,pop soul,1qbmS6ep2hbBRaEZFpn7BX
5,Opalite,Taylor Swift,2,7,2025-10-03,No genre data,3yWuTOYDztXjZxdE2cIRUa
6,Mutt,Leon Thomas,6,42,2024-09-27,No genre data,2uvE4L5ZsYKpv8hbK4TIOt
7,Daisies,Justin Bieber,2,19,2025-07-11,No genre data,5BZsQlgw21vDOAjoqkNgKb
8,All I Want For Christmas Is You,Mariah Carey,1,74,1994-10-28,christmas,0bYg9bo50gSsH3LtXe2SQn
9,Folded,Kehlani,7,23,2025-06-11,No genre data,0bxPRWprUVpQK0UFcddkrA
10,I Got Better,Morgan Wallen,7,27,2025-05-16,country,4gfrYDtaRmp6HPvN80V2ob
11,Last Christmas,Wham!,3,48,1984-11-29,christmas,2FRnf9qhLbvw8fu4IBXx78
12,Back To Friends,sombr,10,34,2025-08-22,No genre data,7qjZnBKE73H4Oxkopwulqe
13,Rockin' Around The Christmas Tree,Brenda Lee,1,66,1964-10-19,christmas,2EjXfH91m7f8HiJN1yQg97
14,Jingle Bell Rock,Bobby Helms,3,63,1957-12-02,christmas; villancicos,7vQbuQcyTflfCIOu3Uzzya
16,Choosin' Texas,Ella Langley,16,5,2025-10-17,country,65DbTqJKhbwqYbZ1Okr0rc
18,So Easy (To Fall In Love),Olivia Dean,18,8,2025-09-26,pop soul,6sGIMrtIzQjdzNndVxe397
19,Santa Tell Me,Ariana Grande,5,31,2014-11-24,pop,0lizgQ7Qw35od7CYaoMBZb
20,Manchild,Sabrina Carpenter,1,24,2025-08-29,pop,2BwO5K8Q7EPAJSGze3AAh9
